Node Number	X Location (m)	Y Location (m)	Z Location (m)	
489	1.8156e-002	4.807e-003	0.	
490	1.8068e-002	-1.7446e-004	0.	
491	-4.2647e-003	-1.3179e-002	0.	
492	-1.4145e-002	-3.4871e-003	0.	
493	2.7396e-003	-2.1043e-002	0.	
494	6.3916e-003	1.7062e-002	0.	
495	1.1193e-002	-5.3755e-003	0.	
496	-2.0712e-002	-4.9583e-003	0.	
497	4.5534e-003	7.0787e-003	0.	
498	1.9358e-002	-1.2871e-003	0.	
499	-1.11e-002	-2.064e-002	0.	
500	-8.9106e-004	-2.4785e-003	0.	
501	-1.0744e-002	1.0618e-002	0.	
502	1.5825e-002	-1.0039e-002	0.	
503	-4.8811e-003	1.6485e-002	0.	
504	9.0983e-003	1.1992e-002	0.	
505	9.8343e-003	-1.1839e-002	0.	
506	-9.4027e-003	-3.6969e-003	0.	
507	-1.1226e-003	1.3991e-002	0.	
508	3.2082e-003	2.1702e-002	0.	
509	1.2879e-002	1.3041e-002	0.	
510	-5.9977e-003	-1.7101e-002	0.	
511	9.896e-003	9.2469e-003	0.	
512	6.8114e-003	1.2714e-002	0.	
513	-1.0181e-002	-1.573e-003	0.	
514	-1.2234e-002	-5.7686e-003	0.	
515	-4.0104e-003	-1.0016e-002	0.	
516	-7.0777e-003	-1.1278e-002	0.	
517	-6.792e-003	-6.6445e-003	0.	
518	-1.2974e-003	-1.181e-002	0.	
519	-3.3422e-004	-1.7935e-002	0.	
520	-6.6202e-003	-2.2546e-002	0.	
521	1.2028e-002	8.4684e-003	0.	
522	-1.191e-002	1.5523e-002	0.	
523	8.7073e-003	1.6296e-002	0.	
524	2.6942e-003	-9.9206e-004	0.	
525	-1.3369e-002	9.0396e-003	0.	
526	1.4689e-003	1.0022e-002	0.	
527	4.6904e-003	-1.7799e-002	0.	
528	4.0376e-003	-1.3776e-002	0.	
529	2.1558e-003	-1.7963e-002	0.	
530	-1.2331e-002	7.1225e-003	0.	
531	-2.0446e-002	1.9366e-003	0.	
532	-7.1472e-003	9.7786e-003	0.	
533	-1.213e-002	-1.8345e-002	0.	
534	-2.9142e-003	1.8378e-002	0.	
535	-1.0325e-003	-2.2239e-002	0.	
536	-1.3e-002	1.7425e-002	0.	
537	-9.0674e-003	1.3645e-002	0.	
538	1.4117e-002	7.5759e-003	0.	
539	1.7904e-002	1.443e-002	0.	
540	3.3345e-003	4.5129e-003	0.	
541	-1.9666e-002	1.1818e-002	0.	
542	-3.0787e-003	-1.4852e-002	0.	
543	-1.6101e-002	-6.3162e-004	0.	
544	2.4099e-004	-1.4668e-002	0.	
545	7.0302e-003	-9.0003e-003	0.	
546	7.5646e-003	-4.6277e-003	0.	
547	1.9817e-003	-8.3322e-003	0.	
548	6.4024e-003	2.9957e-003	0.	
549	4.7502e-003	-1.0156e-002	0.	
550	5.2846e-003	-5.7835e-003	0.	
551	9.3102e-003	-7.8445e-003	0.	
552	-9.005e-003	-1.0351e-002	0.	
553	-1.3214e-002	-1.1668e-002	0.	
554	-7.5937e-003	3.9971e-003	0.	
555	-4.3675e-003	6.5755e-003	0.	
556	-8.6653e-003	7.1209e-003	0.	
557	1.5649e-002	-7.0211e-003	0.	
558	-1.3858e-003	4.2032e-003	0.	
559	1.9035e-002	1.2859e-002	0.	
560	-4.8967e-003	8.353e-003	0.	
561	1.9403e-002	-7.9795e-003	0.	
562	1.6633e-002	1.0338e-002	0.	
563	1.6201e-002	-1.3207e-002	0.	
564	-8.7239e-003	1.8967e-002	0.	
565	1.3008e-002	-2.0512e-003	0.	
566	6.7355e-003	1.0075e-002	0.	
567	-1.7446e-002	-4.6693e-003	0.	
568	-8.5171e-003	-7.6695e-003	0.	
569	1.3694e-003	-2.2856e-002	0.	
570	-5.3872e-003	-8.251e-003	0.	
571	-8.1048e-003	-1.6332e-002	0.	
572	-2.2831e-002	-2.9751e-003	0.	
573	1.4002e-002	1.8248e-002	0.	
574	6.0764e-004	-7.4551e-003	0.	
575	-7.0515e-003	2.3415e-003	0.	
576	-1.5121e-003	9.4185e-003	0.	
577	-5.4907e-003	1.0638e-002	0.	
578	1.6545e-004	-4.5682e-003	0.	
579	1.5624e-002	6.121e-003	0.	
580	8.1351e-003	4.8643e-004	0.	
581	9.2205e-003	7.1916e-003	0.	
582	-6.9187e-003	1.7165e-002	0.	
583	-3.8826e-003	-2.2685e-002	0.	
584	1.6682e-002	2.8286e-003	0.	
585	1.3482e-002	5.6039e-003	0.	
586	-6.3564e-003	-2.6458e-003	0.	
587	9.5828e-003	-1.7792e-002	0.	
588	6.5465e-003	-1.957e-002	0.	
589	-1.1758e-002	-1.3124e-002	0.	
590	7.7081e-003	1.4511e-002	0.	
591	1.1076e-002	-1.8602e-002	0.	
592	-1.2371e-002	1.1925e-002	0.	
593	-5.487e-003	1.6772e-003	0.	
594	1.4821e-002	1.2615e-002	0.	
595	1.6371e-002	1.6133e-002	0.	
596	-1.8101e-002	1.4339e-002	0.	
597	1.0388e-002	4.4606e-003	0.	
598	-1.5463e-002	1.1817e-002	0.	
599	-1.5405e-002	-4.8509e-003	0.	
600	-2.905e-003	7.9878e-003	0.	
601	7.6823e-003	-2.0676e-002	0.	
602	2.3051e-002	-2.8666e-003	0.	
603	-1.5158e-002	-8.0341e-003	0.	
604	-5.0087e-003	-1.8902e-002	0.	
605	3.4666e-003	-2.2752e-002	0.	
606	2.2948e-002	4.1688e-003	0.	
607	1.0957e-002	1.2486e-002	0.	
608	2.3201e-002	2.2787e-003	0.	
609	6.3085e-003	-1.3088e-002	0.	
610	1.1546e-002	1.5669e-002	0.	
